,,lag 1 day,lag 3 day,lag 7 day
1 day ahead,MAE,110.07155427853618,100.43112628167302,97.59550932356446
1 day ahead,RMSE,164.03555320314942,153.88878373618286,150.7216130483363
1 day ahead,MBE,1.9816507900598832,3.593582676516521,-0.5218700739403064
1 day ahead,SMAPE,38.28631309748783,34.11890068911001,33.36260933752062
1 day ahead,n,52635.0,52635.0,52635.0
2 day ahead,MAE,117.8619791952653,105.19341402462865,101.72721307886783
2 day ahead,RMSE,173.71789211171293,159.0421307654835,155.17919111568543
2 day ahead,MBE,1.8636465647253724,2.789925939399743,0.2074047867484372
2 day ahead,SMAPE,40.22520257562576,35.43047586567944,34.33038057357863
2 day ahead,n,52635.0,52635.0,52635.0
3 day ahead,MAE,121.49534340100332,109.88547240014594,104.12873967968434
3 day ahead,RMSE,177.963994206292,164.77416886847675,158.06734921345122
3 day ahead,MBE,2.4912955994460693,-0.496614885038035,-0.12849888476739865
3 day ahead,SMAPE,41.29792468452623,37.03018192350064,34.792119740732545
3 day ahead,n,52635.0,52635.0,52635.0
